                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0989,                 0.8492,                 1.4942,                0.94556,                0.93471,                0.96667,                0.71151,                0.95804,                0.62301,                 1.4661,              0.0083665,              0.0083665,              0.0083665
                     35,                    1.1,                0.83844,                 1.4877,                0.95592,                0.94948,                0.97552,                 0.7326,                0.91332,                0.54949,                 1.4551,               0.008317,               0.008317,               0.008317
                     36,                 1.0717,                0.82432,                 1.4615,                 0.9421,                0.94312,                0.96387,                0.72783,                0.93285,                0.57986,                 1.4704,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0721,                0.83089,                  1.462,                0.96568,                0.93003,                0.96795,                0.71952,                0.92476,                0.58118,                 1.4377,               0.008218,               0.008218,               0.008218
                     38,                 1.0372,                0.78827,                 1.4207,                0.96785,                0.92277,                0.97002,                0.72536,                0.93492,                0.56667,                 1.4569,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.0616,                0.80333,                 1.4463,                0.95029,                0.94183,                0.97355,                0.74218,                0.88937,                0.53042,                 1.4178,               0.008119,               0.008119,               0.008119
                     40,                 1.0255,                0.79432,                 1.4312,                0.95806,                 0.9407,                0.97051,                0.72339,                0.91365,                0.59248,                 1.4333,              0.0080695,              0.0080695,              0.0080695
                     41,                  1.037,                0.77472,                 1.4317,                0.94918,                0.95288,                0.97391,                0.73618,                0.88941,                0.53824,                 1.4138,                0.00802,                0.00802,                0.00802
                     42,                 1.0374,                0.79344,                 1.4503,                0.96456,                0.93864,                0.97711,                0.73849,                 0.9097,                0.53803,                 1.4366,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0316,                0.78523,                 1.4306,                0.95667,                0.93932,                0.97501,                0.72582,                0.93716,                0.54917,                 1.4693,               0.007921,               0.007921,               0.007921
                     44,                 1.0246,                0.78263,                 1.4238,                0.96028,                0.91215,                0.96709,                0.72215,                0.92411,                0.58506,                 1.4399,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0151,                0.76946,                 1.4086,                0.95664,                0.95336,                0.97757,                0.73745,                0.91421,                0.53886,                 1.4136,               0.007822,               0.007822,               0.007822
                     46,                0.99687,                0.75413,                 1.3993,                0.92947,                 0.9564,                0.97402,                0.72973,                0.88332,                0.53178,                 1.4072,              0.0077725,              0.0077725,              0.0077725
                     47,                0.97297,                0.72275,                 1.3809,                0.96842,                0.95069,                0.97962,                0.74387,                0.88008,                0.50634,                 1.4071,               0.007723,               0.007723,               0.007723
                     48,                0.99883,                0.73683,                 1.4132,                0.96506,                0.93113,                0.96919,                0.74772,                 0.8824,                0.53344,                 1.4097,              0.0076735,              0.0076735,              0.0076735
                     49,                0.98456,                0.73743,                 1.3902,                0.97608,                0.95385,                0.98115,                0.75343,                0.89796,                0.49081,                  1.421,               0.007624,               0.007624,               0.007624
                     50,                0.98314,                0.74295,                 1.3886,                0.95549,                0.92289,                0.97259,                0.74954,                0.88531,                0.53047,                 1.3894,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.9627,                0.71538,                 1.3764,                0.97067,                0.93971,                0.97598,                 0.7598,                0.83668,                0.47307,                 1.3703,               0.007525,               0.007525,               0.007525
                     52,                0.93277,                0.70487,                 1.3547,                0.95614,                0.95121,                0.97441,                0.75759,                0.87439,                0.47585,                 1.4051,              0.0074755,              0.0074755,              0.0074755
                     53,                0.97507,                0.72392,                 1.3941,                0.96975,                0.92387,                0.97586,                0.76134,                0.85978,                 0.5115,                 1.3741,               0.007426,               0.007426,               0.007426
                     54,                0.95945,                 0.7294,                 1.3632,                   0.96,                0.93828,                0.97642,                0.74733,                0.87561,                0.51527,                 1.3895,              0.0073765,              0.0073765,              0.0073765
                     55,                0.92026,                0.68706,                 1.3391,                 0.9641,                 0.9552,                0.98251,                0.77397,                0.82553,                0.46357,                 1.3566,               0.007327,               0.007327,               0.007327
                     56,                0.92675,                0.69486,                 1.3599,                0.96654,                0.93731,                0.97606,                0.74386,                0.88051,                0.52122,                  1.411,              0.0072775,              0.0072775,              0.0072775
                     57,                0.92327,                0.68892,                 1.3366,                0.97116,                0.94901,                0.98114,                0.75346,                0.84914,                0.49335,                 1.3714,               0.007228,               0.007228,               0.007228
                     58,                0.92033,                0.69579,                 1.3296,                 0.9529,                0.95673,                0.98109,                0.76594,                0.83743,                0.49092,                   1.38,              0.0071785,              0.0071785,              0.0071785
                     59,                0.90423,                0.67681,                 1.3251,                 0.9796,                0.95317,                0.98256,                0.77582,                0.85184,                0.48104,                 1.3714,               0.007129,               0.007129,               0.007129
                     60,                0.91181,                0.67816,                 1.3308,                 0.9713,                0.95719,                0.98088,                0.77526,                0.81797,                0.45657,                 1.3677,              0.0070795,              0.0070795,              0.0070795
                     61,                0.91603,                0.68206,                 1.3568,                0.97634,                0.95657,                0.98422,                0.77502,                0.81927,                0.45305,                 1.3639,                0.00703,                0.00703,                0.00703
                     62,                0.88716,                0.67324,                 1.3229,                0.97527,                0.96196,                0.98363,                0.78512,                 0.8273,                0.44064,                  1.375,              0.0069805,              0.0069805,              0.0069805
                     63,                0.90655,                0.66156,                 1.3305,                0.96826,                0.95167,                0.98647,                0.78116,                 0.8115,                0.45497,                 1.3373,               0.006931,               0.006931,               0.006931
                     64,                0.89851,                0.67392,                  1.324,                0.97094,                0.95027,                0.98053,                0.77587,                0.82988,                0.47309,                  1.356,              0.0068815,              0.0068815,              0.0068815
                     65,                0.90081,                0.67576,                 1.3242,                0.97149,                0.94957,                0.97897,                0.76196,                0.85991,                0.47653,                 1.3761,               0.006832,               0.006832,               0.006832
                     66,                0.86533,                0.65263,                 1.2881,                0.97672,                0.94808,                0.98381,                0.77771,                0.81288,                0.43854,                 1.3436,              0.0067825,              0.0067825,              0.0067825
                     67,                0.88058,                0.66441,                  1.308,                0.98159,                0.95235,                0.98431,                0.78487,                0.78338,                0.42772,                 1.3042,               0.006733,               0.006733,               0.006733
                     68,                0.89288,                0.66349,                 1.3189,                0.97955,                0.94582,                0.98064,                0.77728,                0.81886,                0.44939,                 1.3468,              0.0066835,              0.0066835,              0.0066835
                     69,                0.86535,                0.62437,                 1.2729,                0.96557,                0.95595,                0.98128,                0.79097,                0.81469,                0.44954,                 1.3398,               0.006634,               0.006634,               0.006634
                     70,                0.85903,                0.63909,                 1.2878,                0.97126,                0.96687,                0.98554,                0.77509,                0.82892,                0.45615,                 1.3464,              0.0065845,              0.0065845,              0.0065845
                     71,                0.84815,                 0.6409,                 1.2904,                0.97643,                0.96503,                0.98483,                0.77927,                 0.8033,                0.42551,                 1.3476,               0.006535,               0.006535,               0.006535
                     72,                0.84679,                 0.6359,                 1.2871,                0.97842,                0.96456,                0.98594,                  0.785,                0.79366,                0.42762,                 1.3257,              0.0064855,              0.0064855,              0.0064855
                     73,                0.85053,                 0.6262,                 1.2901,                0.96686,                0.95827,                0.98542,                0.77343,                0.83088,                0.45078,                 1.3578,               0.006436,               0.006436,               0.006436
                     74,                0.84838,                0.62302,                  1.271,                0.97078,                 0.9557,                0.98351,                0.78737,                0.79451,                0.42114,                 1.3187,              0.0063865,              0.0063865,              0.0063865
                     75,                0.82856,                 0.6147,                 1.2816,                0.97134,                0.96419,                0.98519,                0.79196,                0.77918,                0.43166,                 1.3219,               0.006337,               0.006337,               0.006337
                     76,                0.83797,                0.62177,                 1.2733,                0.96624,                0.96396,                0.98747,                 0.7906,                  0.774,                0.43876,                 1.2996,              0.0062875,              0.0062875,              0.0062875
                     77,                0.84848,                0.62746,                 1.2816,                0.97329,                0.95963,                0.98491,                0.79521,                0.79728,                0.43134,                  1.326,               0.006238,               0.006238,               0.006238
                     78,                0.81825,                0.61945,                 1.2518,                0.95161,                0.96867,                0.98446,                 0.7778,                0.82976,                0.45197,                 1.3587,              0.0061885,              0.0061885,              0.0061885
                     79,                0.82535,                0.61385,                 1.2711,                0.96402,                  0.966,                0.98551,                0.78554,                0.79146,                 0.4309,                 1.3101,               0.006139,               0.006139,               0.006139
                     80,                0.83805,                0.62123,                 1.2877,                0.97221,                0.95112,                0.98498,                 0.7966,                0.77922,                0.43267,                 1.3215,              0.0060895,              0.0060895,              0.0060895
                     81,                0.83693,                0.62656,                 1.2761,                0.96982,                0.95071,                0.98493,                0.79705,                0.76671,                 0.4363,                  1.289,                0.00604,                0.00604,                0.00604
                     82,                0.80562,                0.60014,                 1.2445,                0.98075,                0.96705,                0.98574,                0.79585,                0.76353,                0.39327,                    1.3,              0.0059905,              0.0059905,              0.0059905
                     83,                0.79646,                0.58786,                 1.2417,                0.97676,                0.95704,                0.98406,                0.79315,                0.77038,                0.39907,                 1.3128,               0.005941,               0.005941,               0.005941
                     84,                 0.8137,                0.58884,                 1.2612,                0.96746,                0.95232,                0.98269,                0.79518,                0.78787,                0.43137,                 1.3201,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.8087,                0.58894,                 1.2549,                   0.96,                0.97155,                0.98537,                0.79189,                0.77103,                0.41463,                 1.3028,               0.005842,               0.005842,               0.005842
                     86,                0.80696,                0.60385,                 1.2577,                0.98141,                0.94864,                0.98541,                0.80018,                0.76591,                0.40032,                 1.3089,              0.0057925,              0.0057925,              0.0057925
                     87,                 0.8048,                 0.6063,                 1.2516,                0.97327,                0.97021,                0.98412,                0.78952,                0.76298,                0.41456,                 1.3062,               0.005743,               0.005743,               0.005743
                     88,                0.79729,                0.58691,                 1.2526,                0.97273,                0.96496,                0.98197,                0.80233,                0.79228,                0.40986,                 1.3133,              0.0056935,              0.0056935,              0.0056935
                     89,                  0.788,                0.58668,                 1.2293,                0.95847,                0.97038,                0.98458,                 0.7959,                0.78465,                0.40248,                 1.3083,               0.005644,               0.005644,               0.005644
                     90,                0.80074,                0.60889,                 1.2605,                0.98097,                0.94693,                0.98547,                0.79176,                0.78616,                0.41783,                 1.3297,              0.0055945,              0.0055945,              0.0055945
                     91,                0.78399,                0.58754,                 1.2449,                0.96785,                0.96948,                0.98655,                0.80687,                0.74792,                 0.4034,                 1.2999,               0.005545,               0.005545,               0.005545
                     92,                0.75953,                0.56663,                 1.2321,                0.98058,                0.96133,                0.98457,                0.80444,                0.75953,                0.40971,                 1.2947,              0.0054955,              0.0054955,              0.0054955
                     93,                0.77397,                0.56605,                  1.223,                0.97798,                0.97079,                 0.9861,                0.80464,                0.75521,                0.38145,                 1.3008,               0.005446,               0.005446,               0.005446
                     94,                0.77199,                0.55976,                 1.2191,                0.97176,                 0.9488,                0.98457,                0.79138,                0.76703,                0.39734,                 1.2978,              0.0053965,              0.0053965,              0.0053965
                     95,                0.75842,                0.55784,                 1.2234,                0.97193,                0.95933,                 0.9867,                 0.8042,                0.74673,                0.38225,                 1.2874,               0.005347,               0.005347,               0.005347
                     96,                0.76847,                0.58116,                 1.2249,                0.95079,                0.96921,                0.98926,                0.81123,                0.73264,                0.39217,                 1.2682,              0.0052975,              0.0052975,              0.0052975
                     97,                0.75405,                0.55531,                  1.212,                0.98041,                0.96209,                0.99044,                0.80656,                0.76628,                0.38657,                 1.2956,               0.005248,               0.005248,               0.005248
                     98,                0.75811,                0.56707,                 1.2239,                0.97675,                0.96587,                0.99165,                0.80321,                0.80383,                0.39786,                  1.344,              0.0051985,              0.0051985,              0.0051985
                     99,                0.76542,                0.56439,                 1.2166,                  0.973,                0.96207,                 0.9891,                0.80978,                0.78085,                0.39079,                 1.3189,               0.005149,               0.005149,               0.005149
                    100,                0.76047,                0.56018,                 1.2281,                0.96498,                0.96238,                 0.9905,                0.80618,                0.71505,                0.37762,                 1.2497,              0.0050995,              0.0050995,              0.0050995
                    101,                0.73526,                0.55098,                 1.2134,                0.98637,                0.95344,                0.98731,                0.79916,                0.74692,                0.39287,                 1.2888,                0.00505,                0.00505,                0.00505
                    102,                 0.7543,                0.55752,                 1.2217,                0.97207,                0.97726,                0.98817,                0.81167,                0.73308,                0.39721,                 1.2585,              0.0050005,              0.0050005,              0.0050005
                    103,                0.74438,                0.54655,                 1.2102,                0.97738,                0.96914,                0.98778,                0.80686,                0.74201,                0.37782,                 1.2616,               0.004951,               0.004951,               0.004951
                    104,                0.74371,                0.55093,                 1.2131,                0.98241,                0.96018,                0.98699,                0.80199,                 0.7621,                0.38448,                 1.2885,              0.0049015,              0.0049015,              0.0049015
                    105,                0.75051,                0.55286,                 1.2094,                0.96311,                0.96815,                0.98699,                0.80601,                0.75015,                0.38757,                 1.2856,               0.004852,               0.004852,               0.004852
                    106,                0.73709,                0.54007,                 1.2061,                0.98877,                0.95617,                0.98923,                0.81736,                0.72318,                0.36772,                 1.2656,              0.0048025,              0.0048025,              0.0048025
                    107,                0.72981,                0.53354,                 1.2056,                0.97416,                0.97535,                0.98958,                0.81256,                 0.7291,                 0.3661,                 1.2597,               0.004753,               0.004753,               0.004753
                    108,                0.72967,                 0.5297,                  1.208,                0.97105,                0.97986,                0.99081,                0.80335,                0.74751,                0.37115,                 1.2764,              0.0047035,              0.0047035,              0.0047035
                    109,                0.71914,                0.53806,                 1.1925,                0.97859,                0.96905,                0.99115,                0.80378,                0.77818,                0.39416,                  1.305,               0.004654,               0.004654,               0.004654
                    110,                0.72547,                0.53606,                  1.192,                0.97706,                0.97092,                 0.9884,                0.80391,                 0.7454,                0.37233,                 1.2779,              0.0046045,              0.0046045,              0.0046045
                    111,                0.72637,                0.54353,                 1.1897,                0.95495,                0.98521,                0.98877,                0.81423,                0.74765,                0.36962,                 1.2795,               0.004555,               0.004555,               0.004555
                    112,                0.71673,                0.53273,                  1.192,                 0.9682,                0.96398,                0.98857,                0.81273,                0.73027,                0.38399,                 1.2656,              0.0045055,              0.0045055,              0.0045055
                    113,                0.70923,                0.52121,                 1.1824,                 0.9661,                0.97534,                0.98975,                 0.8154,                0.73445,                 0.3655,                 1.2701,               0.004456,               0.004456,               0.004456
                    114,                0.71138,                0.52025,                 1.1858,                0.98169,                0.96353,                0.98703,                0.80881,                0.74498,                 0.3757,                  1.282,              0.0044065,              0.0044065,              0.0044065
                    115,                0.71208,                0.52445,                 1.1859,                0.97043,                0.96965,                0.98873,                0.81821,                0.72986,                0.37188,                 1.2694,               0.004357,               0.004357,               0.004357
                    116,                0.69803,                0.51372,                 1.1686,                0.98002,                0.97065,                0.99069,                0.81674,                0.74337,                0.36211,                 1.2919,              0.0043075,              0.0043075,              0.0043075
                    117,                0.69335,                0.51729,                 1.1894,                0.97887,                0.97543,                0.99112,                0.81076,                0.75992,                0.36083,                 1.3142,               0.004258,               0.004258,               0.004258
