                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    155,                0.58789,                 0.4369,                 1.0988,                0.99028,                0.96965,                0.99129,                0.82386,                0.71304,                0.33742,                 1.2615,               0.002377,               0.002377,               0.002377
                    156,                0.59178,                0.43895,                 1.1113,                0.98289,                0.97946,                0.99225,                0.82684,                0.73388,                0.33026,                 1.3052,              0.0023275,              0.0023275,              0.0023275
                    157,                0.60437,                0.45788,                 1.1204,                0.98184,                0.97535,                0.99345,                 0.8313,                0.71941,                 0.3368,                 1.2855,               0.002278,               0.002278,               0.002278
                    158,                 0.6012,                 0.4385,                 1.1214,                0.98837,                0.97291,                0.99241,                0.82225,                0.74112,                0.34412,                 1.2987,              0.0022285,              0.0022285,              0.0022285
                    159,                0.57998,                0.43397,                 1.1054,                0.97981,                0.98272,                0.99274,                0.82572,                0.72365,                0.32932,                 1.2956,               0.002179,               0.002179,               0.002179
                    160,                0.60523,                0.45351,                 1.1116,                 0.9827,                0.97815,                0.99229,                0.82653,                0.70969,                0.32538,                 1.2682,              0.0021295,              0.0021295,              0.0021295
                    161,                0.60354,                0.45745,                 1.1179,                0.97511,                0.98387,                0.99282,                0.83175,                0.70708,                0.32684,                 1.2568,                0.00208,                0.00208,                0.00208
                    162,                0.59271,                0.44603,                 1.1183,                0.98258,                 0.9783,                0.99223,                0.83211,                  0.728,                0.32806,                 1.2806,              0.0020305,              0.0020305,              0.0020305
                    163,                0.58579,                0.44045,                 1.1037,                0.99209,                0.97334,                0.99268,                0.83673,                0.69778,                0.32347,                 1.2603,               0.001981,               0.001981,               0.001981
                    164,                0.59234,                0.44215,                  1.111,                0.98922,                0.97023,                0.99188,                0.82703,                0.71094,                0.33221,                 1.2782,              0.0019315,              0.0019315,              0.0019315
                    165,                0.59715,                0.43925,                 1.1233,                0.97607,                0.98263,                0.99167,                0.82627,                0.71468,                0.33412,                 1.2844,               0.001882,               0.001882,               0.001882
                    166,                0.57732,                0.43518,                 1.0971,                0.98029,                0.98293,                0.99274,                0.82576,                0.73893,                0.33297,                 1.2968,              0.0018325,              0.0018325,              0.0018325
                    167,                0.57664,                 0.4315,                 1.1032,                0.98864,                 0.9791,                0.99202,                0.82686,                0.70043,                0.33097,                  1.275,               0.001783,               0.001783,               0.001783
                    168,                0.56303,                0.41948,                 1.0942,                0.98188,                0.97915,                0.99238,                 0.8324,                0.70115,                0.32289,                 1.2757,              0.0017335,              0.0017335,              0.0017335
                    169,                0.58749,                0.43422,                 1.1129,                0.98847,                0.97653,                0.99332,                0.83313,                0.72039,                0.32521,                 1.2779,               0.001684,               0.001684,               0.001684
                    170,                0.57494,                0.42838,                 1.0949,                0.97531,                0.97308,                0.99183,                0.83022,                0.70672,                0.33569,                 1.2795,              0.0016345,              0.0016345,              0.0016345
                    171,                0.56681,                0.41134,                 1.0974,                0.98168,                0.97155,                 0.9898,                0.82285,                0.71919,                0.33004,                 1.2973,               0.001585,               0.001585,               0.001585
                    172,                0.55647,                0.40596,                 1.0797,                0.98088,                0.98328,                0.99295,                0.83102,                0.71472,                0.33101,                 1.2767,              0.0015355,              0.0015355,              0.0015355
                    173,                0.57076,                0.42124,                 1.0928,                0.98173,                0.96959,                0.99184,                0.82759,                0.72518,                0.33281,                 1.2759,               0.001486,               0.001486,               0.001486
                    174,                0.55785,                0.41806,                 1.0933,                0.98114,                0.97677,                0.99032,                 0.8315,                0.71247,                0.32648,                 1.2769,              0.0014365,              0.0014365,              0.0014365
                    175,                0.57137,                0.42862,                 1.1106,                0.98579,                0.98226,                0.99134,                0.83027,                0.71951,                0.33173,                 1.2904,               0.001387,               0.001387,               0.001387
                    176,                0.55299,                0.41795,                 1.0942,                 0.9774,                0.98441,                0.99131,                0.83203,                0.70363,                0.32916,                 1.2752,              0.0013375,              0.0013375,              0.0013375
                    177,                0.56108,                0.42217,                 1.0872,                0.98289,                0.97471,                0.99126,                0.83084,                0.70798,                0.32571,                 1.2866,               0.001288,               0.001288,               0.001288
                    178,                0.55544,                0.41867,                 1.0931,                0.98769,                0.97324,                0.98963,                0.82961,                0.71641,                0.32922,                 1.2913,              0.0012385,              0.0012385,              0.0012385
                    179,                0.55909,                0.41461,                 1.0898,                0.98715,                0.97535,                0.99128,                0.83138,                0.70136,                0.32303,                 1.2762,               0.001189,               0.001189,               0.001189
                    180,                0.55525,                0.41409,                 1.0953,                0.98614,                0.96563,                0.99077,                0.82822,                0.70989,                0.33426,                 1.2754,              0.0011395,              0.0011395,              0.0011395
                    181,                0.55204,                0.41604,                 1.0898,                0.98875,                0.97536,                0.99197,                0.83226,                0.70683,                0.31727,                 1.2743,                0.00109,                0.00109,                0.00109
                    182,                0.54501,                0.40305,                 1.0835,                0.99027,                0.96605,                0.99184,                0.83037,                0.70668,                 0.3269,                 1.2637,              0.0010405,              0.0010405,              0.0010405
                    183,                0.53113,                0.39391,                 1.0718,                0.97702,                 0.9781,                0.99134,                 0.8364,                0.69523,                0.32601,                 1.2543,               0.000991,               0.000991,               0.000991
                    184,                0.54799,                0.40477,                 1.0857,                0.98621,                0.97063,                 0.9913,                0.83502,                 0.7014,                0.31695,                 1.2563,              0.0009415,              0.0009415,              0.0009415
                    185,                0.53981,                0.39612,                 1.0711,                0.99151,                0.96769,                0.99203,                0.83378,                 0.7226,                0.31486,                 1.2777,               0.000892,               0.000892,               0.000892
                    186,                0.54219,                0.40334,                 1.0846,                0.98432,                0.97346,                0.99162,                0.83595,                0.69662,                0.31471,                  1.266,              0.0008425,              0.0008425,              0.0008425
                    187,                0.51971,                0.38366,                 1.0651,                0.98228,                0.97088,                0.99018,                 0.8348,                0.69262,                0.31549,                 1.2733,               0.000793,               0.000793,               0.000793
                    188,                0.52795,                0.38981,                 1.0714,                 0.9814,                0.97345,                0.98982,                0.83694,                 0.6972,                0.31604,                 1.2686,              0.0007435,              0.0007435,              0.0007435
                    189,                0.53491,                0.39609,                 1.0803,                0.97882,                0.97592,                0.98993,                0.83398,                 0.7034,                0.32017,                 1.2702,               0.000694,               0.000694,               0.000694
                    190,                0.36486,                 0.2459,                0.93437,                0.98966,                 0.9755,                0.99196,                 0.8316,                0.71707,                0.32318,                   1.29,              0.0006445,              0.0006445,              0.0006445
                    191,                0.35748,                0.22879,                0.92306,                 0.9862,                0.97915,                0.99125,                0.83059,                0.72514,                0.32965,                 1.2894,               0.000595,               0.000595,               0.000595
                    192,                0.34531,                0.22227,                0.92573,                0.98367,                0.97725,                0.99155,                0.83155,                0.71578,                0.32467,                 1.2952,              0.0005455,              0.0005455,              0.0005455
                    193,                0.33477,                0.21827,                0.91694,                0.98362,                0.97725,                0.99156,                0.83161,                0.70637,                0.32201,                 1.2845,               0.000496,               0.000496,               0.000496
                    194,                0.35383,                0.22783,                0.93055,                0.98828,                0.97426,                0.99164,                0.83105,                0.70687,                0.31873,                 1.2851,              0.0004465,              0.0004465,              0.0004465
                    195,                0.34275,                0.21995,                0.93092,                0.98653,                0.96862,                0.98992,                0.83442,                0.69917,                0.31339,                 1.2756,               0.000397,               0.000397,               0.000397
                    196,                0.33806,                0.21868,                0.91773,                0.98107,                0.97534,                0.98986,                0.83761,                 0.6959,                0.31281,                 1.2733,              0.0003475,              0.0003475,              0.0003475
                    197,                0.33701,                0.21937,                 0.9215,                0.98474,                0.97311,                0.98978,                  0.836,                0.69598,                0.30976,                 1.2764,               0.000298,               0.000298,               0.000298
                    198,                0.33998,                 0.2155,                 0.9162,                0.97842,                0.97592,                0.98986,                0.83513,                0.68941,                0.31019,                 1.2741,              0.0002485,              0.0002485,              0.0002485
                    199,                0.34059,                0.21755,                0.91623,                0.98468,                0.97346,                0.98984,                0.83582,                0.69338,                0.31107,                 1.2774,               0.000199,               0.000199,               0.000199
